,Date,obitos,confirmados_novos,recuperados,Temperature,Visibility,total_testes,testes_pcr,testes_antigenio,new_cases_per_million_Austria,new_deaths_per_million_Austria,new_cases_per_million_Belgium,new_deaths_per_million_Belgium,icu_patients_per_million_Belgium,hosp_patients_per_million_Belgium,new_deaths_per_million_Bulgaria,new_cases_per_million_Canada,new_deaths_per_million_Canada,icu_patients_per_million_Canada,new_cases_per_million_Cyprus,new_deaths_per_million_Czechia,hosp_patients_per_million_Czechia,new_cases_per_million_Denmark,new_tests_per_thousand_Estonia,icu_patients_per_million_France,new_cases_per_million_Georgia,new_cases_per_million_Germany,new_deaths_per_million_Germany,icu_patients_per_million_Germany,new_deaths_per_million_Hungary,hosp_patients_per_million_Hungary,positive_rate_India,new_cases_per_million_Ireland,new_deaths_per_million_Ireland,icu_patients_per_million_Ireland,hosp_patients_per_million_Ireland,new_tests_per_thousand_Ireland,positive_rate_Ireland,new_tests_per_thousand_Italy,new_cases_per_million_Japan,new_deaths_per_million_Japan,new_cases_per_million_Latvia,new_deaths_per_million_Latvia,hosp_patients_per_million_Latvia,new_tests_per_thousand_Latvia,new_cases_per_million_Lithuania,new_tests_per_thousand_Lithuania,icu_patients_per_million_Luxembourg,new_deaths_per_million_Malta,new_tests_per_thousand_Malta,positive_rate_Malta,new_cases_per_million_Monaco,new_cases_per_million_Montenegro,positive_rate_Mozambique,new_deaths_per_million_Poland,positive_rate_Romania,new_cases_per_million_Russia,new_deaths_per_million_Russia,new_deaths_per_million_Serbia,positive_rate_Serbia,new_cases_per_million_Slovakia,new_tests_per_thousand_Slovakia,new_cases_per_million_Slovenia,new_deaths_per_million_Slovenia,icu_patients_per_million_Slovenia,new_tests_per_thousand_Slovenia,new_deaths_per_million_Switzerland,new_cases_per_million_Turkey,positive_rate_Ukraine,new_deaths_per_million_United Arab Emirates,tests_per_case_United Arab Emirates,new_cases_per_million_United Kingdom,new_deaths_per_million_United Kingdom,icu_patients_per_million_United Kingdom,hosp_patients_per_million_United Kingdom,positive_rate_United Kingdom,new_cases_per_million_United States,new_deaths_per_million_United States,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths,flights,commercial_flights,People Screened at Airports,US International Commercial Flights,Nr People not staying home,Nr of trips
34,2020-10-25,135.0,18775.0,9877.0,16.38571428571429,9.657142857142857,204697.0,202468.0,2229.0,1777.069,9.547,8522.975,34.254999999999995,354.973,2240.281,15.543,478.775,5.218,41.095,1028.657,72.743,3265.297,858.0509999999999,12.076,241.327,2745.932,823.8690000000001,3.1500000000000004,86.90200000000002,29.296,1543.836,0.051714285714285706,1451.256,6.077,51.035,443.316,23.302999999999997,0.06785714285714287,18.415,31.603,0.34800000000000003,651.043,6.361000000000001,363.69300000000004,17.507,981.527,20.245,103.839,13.589,46.173,0.04828571428571428,1044.7459999999999,1881.98,0.088,22.856,0.144,773.1399999999999,12.581,2.352,0.05028571428571429,2565.735,15.906,4717.807000000001,25.012,207.799,19.076999999999998,-4.622,169.64800000000002,0.20157142857142857,0.20199999999999999,83.0,2232.39,18.413,75.657,877.293,0.0642857142857143,1499.045,17.568,7005.0,6158,21,135334.7142857143,66965.85714285714,5593048.0,9252.0,243629973.0,935673173.5714283
35,2020-11-01,228.0,25655.0,12894.0,16.77142857142857,10.514285714285716,231117.0,227722.0,3395.0,3227.704,16.766000000000002,10352.975,79.985,626.767,3683.642,29.36,550.4449999999999,6.782,42.55,1162.235,114.671,4566.1669999999995,1199.5430000000001,14.777999999999999,329.065,3082.3410000000003,1272.893,5.382,141.901,40.786,2470.095,0.04171428571428571,987.081,6.684,58.529,471.668,18.5,0.05714285714285714,21.730999999999998,38.331999999999994,0.47500000000000003,772.983,9.542000000000002,666.419,18.107999999999997,2025.867,23.449,254.00400000000002,29.444000000000003,51.107,0.03457142857142857,1528.8949999999998,3052.2459999999996,0.09114285714285712,35.538000000000004,0.15999999999999998,829.113,14.739,4.997999999999999,0.10957142857142857,2949.46,52.744,6108.424,59.163000000000004,373.749,19.509000000000004,28.078,185.821,0.19157142857142856,0.2742857142857143,85.22857142857143,2374.775,26.824,97.929,1183.69,0.07228571428571429,1838.3880000000001,18.153,8740.0,7094,21,142748.0,67058.71428571429,5449951.0,10480.0,240992347.85714287,963056355.4285717
36,2020-11-08,352.0,34983.0,18010.0,15.571428571428571,11.0,253917.0,248936.0,4981.0,4804.5830000000005,31.198999999999998,5157.290000000001,113.722,853.1779999999999,4354.674,52.818000000000005,729.054,8.690999999999999,45.306,1625.7580000000003,133.439,5157.820000000001,1350.782,20.948,431.42699999999996,4268.051,1650.412,10.254,218.04899999999998,64.075,3741.2720000000004,0.04257142857142857,686.947,6.482,57.11099999999999,427.72099999999995,16.115000000000002,0.045571428571428575,23.268,51.005,0.356,1038.595,13.252,873.7139999999999,21.099,3283.263999999999,25.811999999999998,397.779,27.178000000000004,47.471999999999994,0.04057142857142857,3057.791,6513.688,0.084,55.197,0.23985714285714285,930.3629999999998,15.527000000000001,9.408,0.17071428571428574,2847.988,40.778,4575.425,91.872,548.3590000000002,16.886999999999997,51.535000000000004,198.983,0.21300000000000002,0.25985714285714284,96.72857142857143,2317.062,34.277,121.1,1432.829,0.07657142857142858,2468.3500000000004,22.095999999999997,10619.0,8059,20,153176.0,68019.14285714286,5541705.0,10897.0,233222222.57142857,995733421.1428572
37,2020-11-15,485.0,37977.0,25285.0,15.899999999999997,9.685714285714285,269279.0,259637.0,9642.0,5640.767000000001,46.410999999999994,3032.887,117.86500000000001,878.546,4137.583,66.92099999999999,855.144,11.578000000000001,60.092,1359.7459999999999,126.063,4600.344,1211.4570000000003,25.567999999999998,498.904,5496.125,1436.0979999999997,14.334999999999999,266.507,68.216,4733.16,0.04099999999999999,508.12199999999996,6.482,51.44,388.8380000000001,15.141,0.035,24.87,80.78200000000001,0.41800000000000004,1299.966,12.722,1123.4230000000002,21.639,3707.172,28.457,471.264,47.561,49.977,0.040999999999999995,1579.859,6961.096,0.06357142857142857,65.422,0.2705714285714286,1026.001,17.769,17.487000000000002,0.22457142857142856,2064.6040000000003,20.023999999999997,4752.922,116.888,672.9399999999999,17.563999999999997,68.982,237.41000000000003,0.22542857142857148,0.231,107.01428571428572,2615.178,42.601,134.78500000000003,1635.433,0.07371428571428572,3193.6839999999997,24.671000000000003,13328.0,9420,30,141675.2857142857,66825.28571428571,5866658.0,11346.0,233405922.85714287,971674368.7142855
38,2020-11-22,516.0,43457.0,47853.0,16.82857142857143,9.814285714285715,286993.0,273442.0,13551.0,4800.142,62.067,1970.73,103.28100000000002,778.6270000000001,3439.373,107.937,913.991,13.382000000000001,76.67900000000002,1672.567,92.25899999999999,3918.0190000000002,1441.767,29.375999999999998,483.79200000000003,6280.496999999999,1544.7,18.929000000000002,298.19500000000005,72.771,5371.649,0.04157142857142858,518.0439999999999,8.911999999999999,46.378,395.31800000000004,16.024,0.03514285714285715,24.979,114.037,0.546,1364.117,15.905000000000001,1389.0349999999999,20.084000000000003,4510.906999999999,29.064,504.812,31.706999999999997,47.454,0.041428571428571426,866.374,6185.695,0.06628571428571428,86.39999999999999,0.26400000000000007,1108.0939999999998,20.237,27.923,0.28785714285714287,1735.28,19.567000000000004,4938.114,122.66100000000002,684.965,17.497,79.38,385.87100000000004,0.3062857142857142,0.31742857142857145,95.50000000000001,2105.28,45.576,147.143,1785.2589999999998,0.06999999999999999,3673.864,33.658,15584.0,10457,27,149371.14285714287,68922.0,6067747.0,11429.0,231100305.2857143,960383041.8571428
39,2020-11-29,530.0,34041.0,36615.0,12.714285714285714,10.314285714285715,266690.0,250742.0,15948.0,3610.7659999999996,79.60999999999999,1537.5829999999999,80.157,623.4029999999999,2675.067,134.41799999999998,1052.5629999999999,14.495,84.89,1986.531,87.964,3317.0289999999995,1531.197,27.07,417.93,6927.748999999999,1471.927,25.626000000000005,318.499,90.265,5489.552,0.040999999999999995,360.48400000000004,5.875,47.998,374.86299999999994,15.468999999999998,0.02628571428571428,23.584000000000003,114.49600000000001,0.902,2043.7899999999997,23.325999999999997,1626.019,24.258,4837.102,29.966000000000005,480.84900000000005,49.824999999999996,46.87,0.040857142857142856,662.5219999999999,6080.61,0.06285714285714286,90.128,0.2724285714285714,1219.946,22.537,51.436,0.3387142857142857,1738.5760000000002,32.726,4845.277,159.69899999999998,675.826,19.288,68.634,1906.66,0.3178571428571428,0.25985714285714284,94.11428571428569,1554.121,47.462,148.70499999999998,1736.2340000000002,0.053142857142857144,3472.7319999999995,32.725,18511.0,12087,34,133665.57142857142,66934.0,5579347.0,12088.0,231673057.7142857,902689799.2857145
40,2020-12-06,536.0,27675.0,33521.0,11.7,10.514285714285714,224639.0,209156.0,15483.0,2633.906,81.61000000000001,1307.808,66.69900000000001,487.93699999999995,2109.5609999999997,141.47000000000003,1197.229,17.090999999999998,99.94200000000001,2361.004,71.34299999999999,2913.8150000000005,1943.8199999999997,27.135000000000005,354.314,7547.174000000001,1657.346,32.023,332.80899999999997,123.80599999999998,5616.669,0.03457142857142857,406.051,9.518999999999998,42.327999999999996,333.54900000000004,15.3,0.024999999999999998,21.685000000000002,121.77800000000002,1.597,2299.86,34.46,1878.9070000000002,26.615999999999996,5327.866000000001,29.312,453.69199999999995,40.767,46.593999999999994,0.04014285714285715,764.448,5357.752,0.06857142857142857,80.852,0.26800000000000007,1296.972,24.310999999999996,58.785000000000004,0.36057142857142865,2014.417,45.089000000000006,5014.112999999999,173.167,671.497,18.527999999999995,80.76599999999999,2616.4280000000003,0.3434285714285714,0.31757142857142856,99.07142857142857,1568.0120000000002,44.190999999999995,133.37,1648.0420000000001,0.04671428571428571,4243.722,48.547,20874.0,13275,30,147978.85714285713,69712.57142857142,4823816.0,12483.0,236844763.85714287,996161219.7142855
41,2020-12-13,596.0,26270.0,28267.0,14.771428571428572,8.657142857142857,222001.0,199945.0,22056.0,2113.274,70.283,1413.421,54.443999999999996,397.856,1805.9270000000001,128.23,1208.065,20.189,114.859,3025.464,59.108999999999995,2900.2760000000003,3310.311,25.985999999999997,308.32899999999995,6831.238,1865.0349999999999,37.203,362.992,113.557,5702.175000000001,0.03142857142857143,392.68399999999997,5.0649999999999995,46.783,293.857,16.430999999999997,0.02457142857142857,18.029,140.12,1.755,2312.584,46.125,2540.555,29.76,6823.2970000000005,31.676,520.787,40.766,42.620999999999995,0.036,764.4469999999999,5063.1939999999995,0.07671428571428572,73.32300000000001,0.25442857142857145,1305.628,25.552,56.14,0.36685714285714294,2976.9350000000004,55.098000000000006,5054.999999999999,153.445,652.7379999999999,17.547,73.48700000000001,11956.891,0.3312857142857143,0.36100000000000004,100.18571428571428,1866.9389999999999,43.086999999999996,130.395,1727.47,0.05042857142857143,4588.466,54.120000000000005,22254.0,14289,32,146018.2857142857,69630.0,5849997.0,13663.0,234001762.85714287,926442928.1428572
42,2020-12-20,575.0,25377.0,25911.0,13.185714285714285,9.957142857142856,253199.0,229419.0,23780.0,1819.9289999999999,97.488,1535.2540000000001,58.24099999999999,342.80699999999996,1615.843,132.547,1253.3719999999998,22.176000000000002,129.45600000000002,2953.537,74.33,3058.9269999999997,4263.317999999999,28.314,290.567,4740.83,1959.23,51.24999999999999,404.361,117.386,5416.470999999999,0.026428571428571423,679.8580000000001,6.886000000000001,43.138,290.818,18.009999999999998,0.030285714285714287,15.107,147.30800000000002,2.395,2791.324,47.714000000000006,2980.592,30.640000000000004,7220.756,33.853,480.849,47.56,47.81,0.029285714285714283,1528.8959999999997,4026.673,0.0692857142857143,66.928,0.22042857142857145,1311.726,26.299,52.17100000000001,0.32085714285714284,3361.3920000000003,74.268,4610.541,139.497,692.18,16.412000000000003,73.602,2227.592,0.3092857142857143,0.2885714285714286,116.72857142857141,2823.424,47.668,140.501,1954.3940000000002,0.06471428571428571,4597.545,58.302,23280.0,14875,31,148548.42857142858,75547.85714285714,6853060.0,14488.0,232774273.0,920999053.1428572
43,2020-12-27,485.0,20452.0,22513.0,11.242857142857144,10.042857142857143,232833.0,196897.0,35936.0,1447.6390000000001,58.847,1117.122,49.52700000000001,310.881,1467.8660000000002,79.875,1123.544,21.116,132.928,2247.975,66.58099999999999,3092.824,3272.156,23.644000000000002,276.86299999999994,3250.547,1714.8509999999999,46.512,445.7300000000001,98.133,4700.761999999999,0.022,1333.996,9.316,36.454,366.154,21.573,0.05071428571428571,15.167,175.07000000000002,2.4979999999999998,2857.595,63.62,3397.3019999999997,26.761,6865.173000000002,26.63,413.755,45.296,39.724000000000004,0.029714285714285717,1758.2309999999998,4361.034,0.072,45.473,0.2065714285714286,1362.578,26.3,50.554,0.27871428571428575,2964.8469999999998,65.93900000000001,4284.411,101.975,696.99,13.823,67.94099999999999,1458.126,0.32371428571428573,0.2887142857142857,110.39999999999998,3668.915,49.449999999999996,165.734,2221.636,0.07971428571428572,3929.6670000000013,49.616,24679.0,15994,44,129587.42857142855,70028.28571428571,7473295.0,14516.0,225249844.42857143,843392683.7142857
