Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Portugal,07/01/2020,27.1,19,22.1,,27.7,0,0,0,22.5,338.21,42.5,12.4,4.5,71.01,Clear
Portugal,07/02/2020,25.1,17.4,20.8,,,0,0,0,25.7,343.46,,12,2,64.09,Clear
Portugal,07/03/2020,24.1,16,19.6,,,0,0,0,24.9,342.92,44.6,11.9,1.2,61.67,Clear
Portugal,07/04/2020,32.6,16.6,23.7,,31.7,0,0,0,23.8,338.17,,10.9,0,54.7,Clear
Portugal,07/05/2020,36,19.6,26.4,,36.8,0,0,0,23.6,246.88,,10.9,0.2,54.03,Clear
Portugal,07/06/2020,35.8,20.1,26.8,,37.6,0,0,0,16.2,317.63,,11.8,0.5,54.26,Clear
Portugal,07/07/2020,32.5,19.4,25.1,,33.2,0,0,0,20.9,211.04,,11.3,1,60.71,Clear
Portugal,07/08/2020,26.5,17.1,20.9,,,0,0,0,18.3,300.58,,11.4,6.1,72.94,Clear
Portugal,07/09/2020,28.4,18.6,21.9,,29.8,0,0,0,27,329,,10.8,5.1,73.89,Clear
Portugal,07/10/2020,30,18,23.4,,30,0,0,0,25,333.63,,11.9,0.7,61.34,Clear
Portugal,07/11/2020,34.5,18.6,24.5,,36.1,0,0,0,24,262,,10.7,0.8,62.7,Clear
Portugal,07/12/2020,30.2,19,24.7,,31.2,0,0,0,18.5,231.46,,10.7,0.1,63.25,Clear
Portugal,07/13/2020,36.6,21.3,28.4,,38.2,0,0,0,22.9,238.83,,10.5,0,51.79,Clear
Portugal,07/14/2020,31.9,19.6,26.1,,32.1,0,0,0,27.4,318.33,51.8,11.1,0.9,52.54,Clear
Portugal,07/15/2020,33.6,18.2,25.8,,34.3,0,0,0,22.7,225.46,,11.7,0,53.14,Clear
Portugal,07/16/2020,37.7,27.2,32.1,,37.7,0,0,0,21.2,152.38,,11.9,0,29.06,Clear
Portugal,07/17/2020,35.9,24.8,30.4,,34.3,0,0,0,19.5,181.54,,12,0,35.27,Clear
Portugal,07/18/2020,30.3,19.6,24,,30.8,0,0,0,23.6,222.71,,10.9,0.3,66.35,Clear
Portugal,07/19/2020,27,17,21.4,,27.8,0,0,0,16.8,257.63,,10,2.8,74.07,Clear
Portugal,07/20/2020,33.6,17.3,25.3,,33.5,0,0,0,18.2,161.04,,11.5,5.3,58.26,Clear
Portugal,07/21/2020,34.1,24.1,27.9,,35.8,1.77,0,0,23.8,200.67,50,11.7,6.2,48.81,Rain
Portugal,07/22/2020,30.5,21.1,25.8,,30.9,0,0,0,19.4,207.17,,11.6,0.9,61.47,Clear
Portugal,07/23/2020,32.5,19,24.5,,32.9,0,0,0,20.6,286.21,,11.7,0.3,64.45,Clear
Portugal,07/24/2020,29,18.4,23,,28.3,0,0,0,28.3,319.08,48.2,12.1,1.1,57.86,Clear
Portugal,07/25/2020,29.5,19.2,23.6,,28.9,0,0,0,27.9,329.25,64.8,11,2,60.81,Clear
Portugal,07/26/2020,31,18.6,23.9,,31.6,0,0,0,26.2,341.13,,11.2,1.1,64.63,Clear
Portugal,07/27/2020,27,19.9,23,,27.8,0,0,0,29.2,325.83,53.6,12.5,4.5,63.1,Clear
Portugal,07/28/2020,28.6,19.1,23.1,,29.5,0,0,0,25.9,335.92,,12.7,9.4,73.54,Clear
Portugal,07/29/2020,31.1,17.2,23.3,,32.3,0,0,0,18.2,270.17,,11.6,1.8,70.11,Clear
Portugal,07/30/2020,28.6,18.2,23.1,,29.3,0,0,0,22.1,215.04,14.8,11.1,1.8,70.24,Clear
Portugal,07/31/2020,32.1,17.1,23.6,,32.2,0,0,0,23.3,311.58,42.5,11.4,0.1,60.13,Clear
Portugal,08/01/2020,29.6,19.5,23.6,,30.4,0,0,0,26.5,327.04,,11.2,1.5,67.01,Clear
Portugal,08/02/2020,26.9,18.1,21.4,,27.1,0,0,0,30.5,337.33,61.2,10.9,2.3,67.37,Clear
Portugal,08/03/2020,26.5,18.1,21.4,,,0,0,0,30.6,320.25,57.6,12.2,6.8,71.13,Clear
Portugal,08/04/2020,32,18.5,23.8,,32.8,0,0,0,26.3,334.04,59.4,11.9,6.7,63.6,Clear
Portugal,08/05/2020,33.4,18.6,25.6,,34.1,0,0,0,22,331.67,,11.2,1.2,55.87,Clear
Portugal,08/06/2020,34.9,20.8,26.3,,34.8,0,0,0,19.3,296.92,,12.1,0.1,53.73,Clear
Portugal,08/07/2020,31.5,18.9,24.3,,33.1,0,0,0,23.5,261.5,37.1,11.9,5.7,64.52,Clear
