Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Portugal,01/01/2020,13.9,6.9,9.6,5.3,,0.2,0,0,9,114.04,24.1,5.4,5.2,91.29,Rain
Portugal,01/02/2020,12,8,10.1,7.3,,0.1,0,0,10.4,57.96,31.7,6.6,10.7,91.84,Rain
Portugal,01/03/2020,16.9,11,13.1,,,0,0,0,8.4,153.71,24.1,9.8,9.9,80.97,Clear
Portugal,01/04/2020,15.1,9.6,12.2,8.7,,0,0,0,17.6,100.58,,9.3,4.6,78.63,Clear
Portugal,01/05/2020,13,7.4,10.1,5.3,,0,0,0,16.4,81.5,35.3,11.1,0,75.41,Clear
Portugal,01/06/2020,14.4,6.4,9.9,7.6,,0,0,0,10.6,134.33,38.9,9.1,6.8,82.27,Clear
Portugal,01/07/2020,14.1,6.5,9.8,7,,0,0,0,13.1,142.33,31.7,9.8,7,77.92,Clear
Portugal,01/08/2020,16.5,7.2,11.9,5.1,,0,0,0,16.9,263.58,,9.3,7.5,83.02,Clear
Portugal,01/09/2020,16.6,11.2,14,,,0,0,0,15.3,329.04,,10.8,12.8,87.75,Clear
Portugal,01/10/2020,14.6,9.1,11.5,7.3,,0,0,0,23.4,303.63,,11.3,2.6,68.88,Clear
Portugal,01/11/2020,14,7.8,10.7,6,,0,0,0,15.7,86.67,,10.8,0.4,61.42,Clear
Portugal,01/12/2020,14,5.7,9.5,4.3,,0,0,0,10,124.63,,10.3,0.6,69.61,Clear
Portugal,01/13/2020,12.8,5.5,9.3,4.3,,0.1,0,0,8,101.75,35.3,6.5,15.5,85.96,Rain
Portugal,01/14/2020,15.5,9.9,12.8,9.1,,1.38,0,0,32.5,113.54,31.7,10.2,8.3,89.5,Rain
Portugal,01/15/2020,17.5,14.6,15.9,,,0.11,0,0,29,202.33,,10.3,9.4,90.84,Rain
Portugal,01/16/2020,17.1,12.5,14.9,,,13.74,0,0,38.4,204.5,63,10.8,10.3,90.18,Rain
