Date,Diabetes,Ebola
2014-08-31,7,3888.0
2014-09-01,16,
2014-09-02,15,
2014-09-03,10,
2014-09-04,10,12.0
2014-09-05,16,11.0
2014-09-06,18,
2014-09-07,16,
2014-09-08,13,1013.0
2014-09-09,9,2104.0
2014-09-10,14,6416.0
2014-09-11,14,2640.0
2014-09-12,16,13882.0
2014-09-13,18,1206.0
2014-09-14,15,5234.0
2014-09-15,14,2978.0
2014-09-16,9,6532.0
2014-09-17,14,5454.0
2014-09-18,9,1102.0
2014-09-19,9,5636.0
2014-09-20,14,2378.0
2014-09-21,8,5804.0
2014-09-22,15,5930.0
2014-09-23,15,6064.0
2014-09-24,21,1114.0
2014-09-25,10,6296.0
2014-09-26,6,5072.0
2014-09-27,18,5098.0
2014-09-28,13,6534.0
2014-09-29,22,6646.0
2014-09-30,19,6728.0
2014-10-01,8,
2014-10-02,16,
2014-10-03,13,
2014-10-04,15,125.0
2014-10-05,18,314.0
2014-10-06,15,
2014-10-07,9,
2014-10-08,14,
2014-10-09,16,4730.0
2014-10-10,18,8766.0
2014-10-11,12,5340.0
2014-10-12,12,4462.0
2014-10-13,13,9064.0
2014-10-14,15,4278.0
2014-10-15,17,3635.0
2014-10-16,12,9526.0
2014-10-17,9,9604.0
2014-10-18,15,9704.0
2014-10-19,13,8840.0
2014-10-20,17,8930.0
2014-10-21,10,10941.0
2014-10-22,22,8780.0
2014-10-23,7,8710.0
2014-10-24,15,8762.0
2014-10-25,17,8955.0
2014-10-26,13,4764.0
2014-10-27,16,9732.0
2014-10-28,23,9680.0
2014-10-29,21,7256.0
2014-10-30,12,10174.0
2014-10-31,14,10314.0
2014-11-01,18,
2014-11-02,16,
2014-11-03,12,
2014-11-04,12,106.0
2014-11-05,14,
2014-11-06,18,15.0
2014-11-07,19,
2014-11-08,17,
2014-11-09,13,4934.0
2014-11-10,14,8924.0
2014-11-11,6,3846.0
2014-11-12,18,11156.0
2014-11-13,15,11322.0
2014-11-14,19,5502.0
2014-11-15,16,5530.0
2014-11-16,14,9124.0
2014-11-17,13,5596.0
2014-11-18,15,11590.0
2014-11-19,12,11672.0
2014-11-20,16,11798.0
2014-11-21,16,11856.0
2014-11-22,18,11930.0
2014-11-23,18,12050.0
2014-11-24,16,14436.0
2014-11-25,16,12320.0
2014-11-26,13,12406.0
2014-11-27,12,12462.0
2014-11-28,16,12638.0
2014-11-29,16,12730.0
2014-11-30,19,12798.0
2014-12-01,6,
2014-12-02,14,
2014-12-03,16,
2014-12-04,14,
2014-12-05,14,345.0
2014-12-06,20,
2014-12-07,14,603.0
2014-12-08,16,
2014-12-09,10,2168.0
2014-12-10,13,8976.0
2014-12-11,20,5422.0
2014-12-12,18,11244.0
2014-12-13,11,14392.0
2014-12-14,18,11526.0
2014-12-15,23,14658.0
2014-12-16,25,14740.0
2014-12-17,24,14796.0
2014-12-18,17,14880.0
2014-12-19,21,14984.0
2014-12-20,9,15052.0
2014-12-21,17,15162.0
2014-12-22,16,15266.0
2014-12-23,23,15380.0
2014-12-24,23,15444.0
2014-12-25,15,15554.0
2014-12-26,20,15640.0
2014-12-27,18,15702.0
2014-12-28,19,15778.0
2014-12-29,24,15878.0
2014-12-30,19,15978.0
2014-12-31,18,16072.0
