STAID,SOUID,DATE,TG,Q_TG
11102,156831,20130101,66,0
11102,156831,20130102,79,0
11102,156831,20130103,78,0
11102,156831,20130104,86,0
11102,156831,20130105,71,0
11102,156831,20130106,67,0
11102,156831,20130107,79,0
11102,156831,20130108,86,0
11102,156831,20130109,21,0
11102,156831,20130110,13,0
11102,156831,20130111,28,0
11102,156831,20130112,31,0
11102,156831,20130113,-2,0
11102,156831,20130114,23,0
11102,156831,20130115,14,0
11102,156831,20130116,-14,0
11102,156831,20130117,-5,0
11102,156831,20130118,3,0
11102,156831,20130119,-3,0
11102,156831,20130120,13,0
11102,156831,20130121,5,0
11102,156831,20130122,7,0
11102,156831,20130123,-4,0
11102,156831,20130124,3,0
11102,156831,20130125,16,0
11102,156831,20130126,39,0
11102,156831,20130127,57,0
11102,156831,20130128,70,0
11102,156831,20130129,79,0
11102,156831,20130130,75,0
11102,156831,20130131,69,0
11102,156831,20130201,65,0
11102,156831,20130202,45,0
11102,156831,20130203,40,0
11102,156831,20130204,63,0
11102,156831,20130205,39,0
11102,156831,20130206,43,0
11102,156831,20130207,35,0
11102,156831,20130208,47,0
11102,156831,20130209,32,0
11102,156831,20130210,32,0
11102,156831,20130211,27,0
11102,156831,20130212,5,0
11102,156831,20130213,29,0
11102,156831,20130214,33,0
11102,156831,20130215,58,0
11102,156831,20130216,45,0
11102,156831,20130217,52,0
11102,156831,20130218,40,0
11102,156831,20130219,22,0
11102,156831,20130220,12,0
11102,156831,20130221,24,0
11102,156831,20130222,13,0
11102,156831,20130223,18,0
11102,156831,20130224,25,0
11102,156831,20130225,38,0
11102,156831,20130226,41,0
11102,156831,20130227,21,0
11102,156831,20130228,14,0
11102,156831,20130301,37,0
11102,156831,20130302,16,0
11102,156831,20130303,37,0
11102,156831,20130304,39,0
11102,156831,20130305,49,0
11102,156831,20130306,41,0
11102,156831,20130307,68,0
11102,156831,20130308,65,0
11102,156831,20130309,44,0
11102,156831,20130310,32,0
11102,156831,20130311,-3,0
11102,156831,20130312,11,0
11102,156831,20130313,35,0
11102,156831,20130314,7,0
11102,156831,20130315,61,0
11102,156831,20130316,47,0
11102,156831,20130317,48,0
11102,156831,20130318,27,0
11102,156831,20130319,27,0
