Date,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
25-01-2014,20.55571,24.01492,22.00259,18.06109,14.76818,15.16732,7.83312,2.99355,4.83957,8.33205,11.17592,17.11313,23.39958,24.14797,26.44303,35.72303,32.97894,36.22196,40.16346,47.49766,44.25465,41.76002,29.98539,33.62755
26-01-2014,29.33679,35.92260,33.67744,37.51916,38.71658,31.58195,25.54496,26.24346,25.99399,36.27185,38.96604,55.33078,52.33723,51.48906,40.21336,31.28260,43.15701,27.93980,31.18281,45.10282,38.46712,30.38453,29.58625,38.46712
27-01-2014,49.29379,52.02125,54.68218,54.98154,57.32648,52.63659,51.53895,44.45422,30.18496,25.34539,30.63400,35.97249,37.36948,33.77722,38.01809,30.48432,19.45808,5.93721,12.47313,20.45593,15.81592,21.05464,17.91141,29.63615
28-01-2014,35.25737,41.44404,44.90325,49.79272,43.75572,38.71658,24.29765,15.96560,16.76388,21.30410,29.38668,39.81422,40.71228,32.57980,32.48002,35.67314,32.13077,14.21936,10.37764,16.96345,11.82452,21.45378,21.65335,16.46453
29-01-2014,17.56216,38.91615,46.69938,36.57120,34.27615,24.39743,20.50582,7.83312,4.78968,2.39484,6.18667,4.83957,4.14108,3.24301,2.64430,1.34710,1.34710,-0.19957,-0.24946,0.09979,2.84387,1.59656,1.94581,4.49033
30-01-2014,7.05147,4.92273,4.24086,3.09334,2.74409,1.49678,0.04989,-0.49892,-0.34925,0.04989,1.99570,4.78968,7.98280,4.68990,0.84817,-0.09978,0.24946,1.54667,0.34925,1.59656,1.24731,-0.04989,0.24946,0.00000
31-01-2014,-0.06652,0.06652,-0.34925,-0.44903,-0.39914,-0.19957,-0.19957,-0.09978,0.64860,4.64000,4.68990,7.93291,10.87657,12.87227,10.27786,17.36259,21.20431,23.59915,22.25206,26.54281,34.32604,37.71873,39.66454,40.66239
01-02-2014,41.97622,43.50626,47.89680,66.65638,58.07487,58.47401,56.42842,46.35013,34.47572,41.11142,54.68218,58.12476,59.27229,57.07702,54.88175,49.04433,43.60605,42.35873,41.85981,41.26110,47.39788,43.50626,46.79917,44.05508
02-02-2014,49.09422,47.09852,49.89250,53.68433,46.20046,38.66669,37.96819,36.22196,33.57765,39.41508,53.08562,55.13121,56.42842,57.87530,53.18541,50.09207,43.60605,23.94840,6.73549,14.31915,26.14367,23.15012,26.19356,19.40818
03-02-2014,27.93980,30.86683,35.87271,34.92475,27.74023,19.15872,13.72044,4.09119,4.34065,13.47098,22.50152,34.67529,42.25895,38.81637,34.57550,28.78797,25.19571,15.76603,14.01979,11.57506,20.30625,18.11098,14.21936,12.02409
04-02-2014,17.62868,27.54066,36.47142,46.40003,51.78842,51.63874,25.94410,15.36689,21.75313,19.45808,27.59055,39.16561,41.46067,48.79487,50.99014,44.75357,34.12647,23.49937,25.69464,33.82712,42.75787,42.10927,44.50411,45.45207
05-02-2014,47.23157,54.74870,54.73207,53.28519,56.12906,56.77767,54.88175,51.23960,43.95529,39.76432,47.24820,49.39358,41.90970,34.97464,33.52776,30.13507,27.14152,30.73378,36.52131,42.20906,49.99229,54.08347,56.37853,58.57380
06-02-2014,56.54483,63.86240,65.85810,66.10756,64.61079,55.77982,39.26540,24.74668,13.62065,14.81807,21.10453,23.64905,19.00904,15.31700,16.71399,8.03269,5.78753,1.34710,12.72259,11.52517,8.43183,24.99614,31.08303,44.60390
07-02-2014,32.39686,49.49336,48.84476,46.10067,34.57550,26.84217,11.77463,5.78753,6.63570,7.73334,17.51227,30.33464,30.93335,37.31959,38.51701,42.80777,31.63185,22.50152,25.59485,18.01119,38.06798,50.54110,50.84046,56.67788
08-02-2014,57.47616,58.80663,62.46541,62.41552,61.06842,62.41552,58.17466,55.28089,49.14411,54.28304,57.67573,55.03143,62.51530,65.50885,65.20950,61.66713,59.87100,55.87960,52.03788,47.19831,45.25250,49.29379,55.13121,58.37423
09-02-2014,59.53838,61.86670,63.11401,64.16176,61.11831,63.06412,63.01423,61.56735,61.31788,60.56950,59.27229,59.52175,55.28089,56.92734,55.33078,53.88390,52.68648,50.94024,52.98584,36.92045,32.87916,32.48002,31.08303,39.26540
10-02-2014,40.44619,39.58138,40.46282,42.00949,43.85551,25.24561,20.80517,5.88732,3.04344,3.69205,2.04559,12.52302,27.39098,38.66669,36.37163,20.00689,18.60990,6.08689,9.47958,16.16517,27.88991,21.05464,9.18022,6.83527
11-02-2014,11.30897,18.69306,29.83572,32.08088,24.49722,24.89636,37.02024,38.11787,37.31959,32.72948,42.25895,43.75572,44.70368,37.61895,40.46282,39.11572,30.83357,21.90281,14.11958,23.59915,31.63185,32.03099,30.98324,38.21766
12-02-2014,33.26167,46.89895,49.89250,51.23960,47.44777,37.51916,29.33679,20.10668,21.55356,31.83142,45.10282,47.96332,,,,,44.60390,36.07228,40.06368,46.64949,41.36088,55.28089,53.88390,56.47831
13-02-2014,61.33451,65.72505,62.91444,59.02283,52.23745,39.41508,22.25206,15.16732,13.67055,24.64690,34.42583,33.72733,40.61250,48.34583,40.11357,44.35443,32.72948,26.14367,22.95055,27.79012,33.32819,33.37808,32.72948,30.03529
14-02-2014,30.86683,40.97837,32.82927,24.59700,34.32604,30.43443,26.04389,8.83097,28.48862,23.29980,24.34754,24.14797,20.65550,14.26926,3.34280,11.47528,23.49937,27.14152,36.27185,53.43487,63.41337,63.91229,63.91229,64.76047
15-02-2014,65.79158,67.98685,68.50240,69.05122,67.45466,66.10756,63.46326,60.71917,59.92089,60.46971,60.27014,58.17466,52.43702,57.27659,58.02498,53.33508,49.89250,36.72088,30.93335,27.14152,21.65335,19.00904,17.06324,19.40818
16-02-2014,21.48704,21.48704,23.69894,26.94195,25.84432,20.70539,12.12388,9.52947,17.36259,24.54711,29.43658,42.80777,52.78627,50.64089,52.08777,47.19831,39.46497,24.79657,19.45808,21.95270,14.46883,5.23871,4.98925,0.64860
17-02-2014,0.86480,13.70381,23.49937,21.10453,16.01549,7.13463,5.03914,1.09764,7.83312,16.71399,25.69464,32.18066,39.11572,37.51916,38.11787,33.77722,28.93765,27.54066,23.69894,26.39313,34.37593,20.40603,25.89421,32.48002
18-02-2014,32.19729,38.38396,45.80132,44.40433,32.87916,18.75958,13.67055,4.49033,5.18882,7.58366,17.66195,21.70324,31.53206,29.43658,30.73378,27.74023,31.53206,25.09593,12.32345,12.17377,10.02839,5.48818,1.74624,2.59441
19-02-2014,2.46136,13.10510,26.19356,27.69034,25.69464,18.26066,10.47743,2.69420,3.84172,7.53377,14.61850,19.70754,31.43228,34.57550,32.23056,28.48862,16.71399,7.53377,7.93291,11.77463,21.85292,25.79442,30.73378,33.62755
20-02-2014,37.91830,41.97622,44.00519,45.20261,43.00734,38.71658,28.93765,26.14367,27.34109,30.33464,27.93980,23.05034,20.80517,24.14797,37.31959,45.50196,52.28734,37.66884,21.80302,20.35614,24.74668,30.98324,28.78797,30.28475
21-02-2014,31.13292,37.38611,38.11787,34.87486,33.97679,32.52991,28.28905,20.90496,24.94625,30.53421,41.21121,53.48476,57.32648,58.02498,55.68003,54.18326,47.94669,35.67314,36.52131,37.16991,36.57120,38.11787,37.21981,38.86626
22-02-2014,50.69078,51.48906,52.03788,49.94239,46.89895,47.39788,40.11357,28.33894,30.68389,36.57120,42.90755,45.60175,47.79702,53.28519,56.27874,50.29164,45.35228,34.87486,35.32389,29.78582,27.74023,29.63615,35.07443,49.89250
23-02-2014,57.07702,60.27014,54.73207,55.87960,54.18326,58.52390,58.42412,55.28089,54.38283,55.97939,55.43057,56.17896,54.58240,54.73207,54.48261,55.08132,54.83186,52.88605,48.64519,46.10067,48.49551,49.99229,47.39788,46.30024
24-02-2014,45.63501,45.90110,44.55400,37.91830,33.17851,28.38883,15.76603,11.67485,11.92431,16.06539,31.88131,43.30669,45.40218,44.30454,43.55615,45.60175,39.46497,25.04604,14.21936,19.15872,29.38668,45.20261,50.69078,56.17896
25-02-2014,60.20362,63.86240,71.14671,66.55660,65.30928,55.87960,44.65379,27.29120,34.32604,52.38713,55.43057,52.33723,54.23315,55.58025,58.62369,54.13336,49.54325,42.25895,30.13507,32.82927,28.88776,25.14582,30.33464,31.28260
26-02-2014,38.71658,43.30669,41.01164,29.98539,36.42153,35.87271,21.85292,16.51442,21.75313,25.09593,34.17636,25.59485,29.33679,36.62110,40.31314,40.01379,39.56475,22.80087,29.78582,17.71184,19.75743,22.95055,23.89851,24.49722
27-02-2014,35.12432,53.68433,57.87530,59.62154,58.87315,58.47401,48.09637,33.97679,25.34539,30.38453,41.80992,31.73163,38.46712,53.68433,42.65809,34.72518,33.52776,36.97034,26.79227,22.25206,24.69679,28.13937,21.75313,19.35829
