Date;All causes (A00-R99);Diabetes (E10-E14)
02/09/2014;1 285;17
03/09/2014;1 248;11
04/09/2014;1 234;28
05/09/2014;1 307;8
06/09/2014;1 224;19
07/09/2014;1 183;14
08/09/2014;1 236;12
09/09/2014;1 223;9
10/09/2014;1 213;16
11/09/2014;1 140;13
12/09/2014;1 166;10
13/09/2014;1 285;18
14/09/2014;1 173;15
15/09/2014;1 225;14
16/09/2014;1 296;9
17/09/2014;1 304;14
18/09/2014;1 290;9
19/09/2014;1 207;9
20/09/2014;1 202;14
21/09/2014;1 095;8
22/09/2014;1 192;15
23/09/2014;1 181;15
24/09/2014;1 222;21
25/09/2014;1 245;10
26/09/2014;1 274;6
27/09/2014;1 196;18
28/09/2014;1 285;13
29/09/2014;1 329;22
30/09/2014;1 305;19
01/10/2014;1 254;10
02/10/2014;1 207;13
03/10/2014;1 300;15
04/10/2014;1 178;9
05/10/2014;1 149;6
06/10/2014;1 282;25
07/10/2014;1 231;8
08/10/2014;1 288;9
09/10/2014;1 326;14
10/10/2014;1 255;18
11/10/2014;1 284;14
12/10/2014;1 301;13
13/10/2014;1 344;13
14/10/2014;1 308;15
15/10/2014;1 329;17
16/10/2014;1 299;12
17/10/2014;1 360;9
18/10/2014;1 403;15
19/10/2014;1 296;13
20/10/2014;1 309;17
21/10/2014;1 254;10
22/10/2014;1 281;22
23/10/2014;1 338;7
24/10/2014;1 418;15
25/10/2014;1 275;17
26/10/2014;1 284;13
27/10/2014;1 370;16
28/10/2014;1 361;23
29/10/2014;1 355;21
30/10/2014;1 294;12
31/10/2014;1 333;14
01/11/2014;1 263;16
02/11/2014;1 235;8
03/11/2014;1 360;20
04/11/2014;1 295;14
05/11/2014;1 282;11
06/11/2014;1 308;9
07/11/2014;1 364;16
08/11/2014;1 441;21
09/11/2014;1 354;14
10/11/2014;1 381;12
11/11/2014;1 375;6
12/11/2014;1 458;20
13/11/2014;1 294;15
14/11/2014;1 411;19
15/11/2014;1 302;16
16/11/2014;1 414;14
17/11/2014;1 336;13
18/11/2014;1 315;15
19/11/2014;1 321;12
20/11/2014;1 315;16
21/11/2014;1 394;16
22/11/2014;1 381;18
23/11/2014;1 321;18
24/11/2014;1 343;16
25/11/2014;1 320;16
26/11/2014;1 400;13
27/11/2014;1 373;12
28/11/2014;1 413;16
29/11/2014;1 418;16
30/11/2014;1 395;19
01/12/2014;1 363;15
02/12/2014;1 378;17
03/12/2014;1 392;18
04/12/2014;1 428;14
05/12/2014;1 542;13
06/12/2014;1 468;17
07/12/2014;1 544;23
08/12/2014;1 425;23
09/12/2014;1 537;16
10/12/2014;1 596;12
11/12/2014;1 564;18
12/12/2014;1 706;18
13/12/2014;1 611;11
14/12/2014;1 574;18
15/12/2014;1 612;23
16/12/2014;1 673;25
17/12/2014;1 819;24
18/12/2014;1 706;17
19/12/2014;1 732;21
20/12/2014;1 618;9
21/12/2014;1 697;17
22/12/2014;1 797;16
23/12/2014;1 854;23
24/12/2014;1 758;23
25/12/2014;1 676;15
26/12/2014;1 793;20
27/12/2014;1 890;18
28/12/2014;1 811;19
29/12/2014;1 927;24
30/12/2014;1 961;19
31/12/2014;1 988;18
