Date,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
29-01-2014,64.79373,57.01050,51.93809,52.53680,53.73422,49.84261,40.21336,39.31529,29.63615,11.02624,15.26711,26.09378,28.08948,31.83142,32.03099,35.47357,41.95959,41.66024,42.85766,47.64734,50.04218,50.69078,51.28949,52.93594
30-01-2014,55.94612,55.68003,54.18326,53.68433,51.98799,49.99229,43.00734,22.00259,11.62495,15.91571,14.71829,26.24346,27.09163,19.65765,13.52087,13.02194,10.52732,9.62925,11.42538,6.93506,8.73119,7.58366,13.07184,4.98925
31-01-2014,7.25104,34.99127,19.20861,27.49077,25.89421,28.98754,33.02884,7.83312,8.93076,11.22581,10.62710,9.23011,11.67485,16.66410,23.89851,32.87916,37.66884,40.51271,43.45637,47.54755,49.59315,46.94884,46.89895,50.74067
01-02-2014,52.28734,55.68003,58.92304,60.46971,67.20520,72.19445,59.82111,41.41078,44.15486,43.30669,52.18756,57.52605,64.51100,66.30713,62.06627,59.97079,61.56735,62.56520,65.90799,64.36133,62.26584,60.91874,54.83186,47.54755
02-02-2014,52.02125,40.18009,44.35443,55.43057,55.38068,55.53035,52.73637,49.14411,45.70153,44.45422,44.65379,45.60175,51.63874,52.78627,55.23100,48.14626,37.26970,40.56260,43.25680,48.24605,48.59530,51.23960,51.78842,50.29164
03-02-2014,52.95257,53.88390,45.95099,46.94884,50.74067,53.13551,43.10712,26.89206,,,,,,,,,,,,,,,,
04-02-2014,,,,,,,,,,,,,,,,,,,,,,,,
05-02-2014,,,,,,,,,,,,,,,63.33021,64.21165,58.82326,54.33293,57.17681,52.88605,49.59315,59.77122,60.61939,56.17896
06-02-2014,60.46971,60.80233,60.61939,67.10541,66.50670,55.33078,39.91400,35.87271,28.53851,27.84002,29.98539,30.78367,29.23701,29.48647,28.38883,34.27615,32.18066,32.13077,40.41293,39.11572,48.39573,48.89465,49.54325,56.07917
07-02-2014,57.74225,55.61351,54.53250,52.68648,58.02498,70.34843,67.70412,51.63874,37.21981,32.38023,30.88346,40.86196,51.13981,42.25895,47.09852,52.98584,35.62325,19.00904,31.73163,42.40863,54.68218,59.47186,58.87315,57.27659
08-02-2014,59.07272,65.92462,70.04907,73.49165,72.29423,69.94929,66.20735,65.85810,61.41767,61.16821,66.40692,70.04907,69.64993,68.15316,68.45251,68.00348,68.25294,69.45036,71.99488,72.64348,71.34628,69.74972,69.55015,67.10541
09-02-2014,59.20577,57.67573,56.17896,59.77122,67.15531,66.50670,59.52175,56.12906,61.26799,57.32648,61.41767,63.66283,66.35703,66.25724,64.31143,61.91659,55.63014,55.68003,49.94239,46.84906,44.60390,40.06368,42.05938,36.82067
10-02-2014,42.10927,52.55343,45.15271,44.55400,36.92045,26.64260,18.80947,6.18667,7.73334,17.31270,24.19786,30.78367,30.58410,45.95099,54.03358,43.50626,32.38023,5.98710,1.44688,1.44688,1.64645,0.69850,0.64860,3.69205
11-02-2014,1.46351,6.31972,12.62280,7.53377,15.91571,35.87271,43.25680,46.74927,49.69293,47.79702,52.53680,39.21551,35.77292,51.38928,33.02884,37.71873,46.79917,16.36474,24.44733,44.90325,42.35873,42.15916,37.02024,37.71873
12-02-2014,36.05565,36.58783,39.41508,48.39573,55.82971,55.23100,47.34798,42.30884,43.80562,41.80992,43.15701,46.15056,43.45637,56.87745,66.75617,69.05122,70.34843,62.26584,63.81251,67.90369,73.74112,74.19015,73.94069,67.90369
13-02-2014,66.98900,59.73795,60.41982,57.82541,55.53035,57.97509,46.00089,34.17636,39.21551,44.70368,48.39573,52.18756,54.28304,55.63014,51.48906,49.19401,46.10067,43.65594,48.74497,52.58670,55.18111,51.23960,47.29809,51.43917
14-02-2014,40.18009,35.65651,43.20691,42.15916,33.12862,38.36733,31.63185,25.84432,28.43873,27.84002,29.23701,37.66884,37.41938,50.64089,58.22455,62.71487,49.69293,40.66239,45.00304,46.74927,61.06842,72.64348,76.73467,76.53510
15-02-2014,77.10054,73.37524,69.99918,63.91229,60.32003,59.77122,56.67788,52.78627,50.64089,50.09207,51.18971,52.63659,57.52605,50.79057,51.98799,48.64519,51.53895,51.38928,49.69293,48.64519,37.56905,37.02024,40.31314,39.96389
16-02-2014,34.99127,51.68863,47.69723,59.67143,58.17466,58.32433,49.14411,42.45852,33.67744,44.70368,48.79487,48.49551,52.03788,50.84046,58.12476,58.07487,39.16561,14.56861,18.01119,29.58625,35.37378,30.93335,41.51056,46.89895
17-02-2014,38.65006,34.39256,28.08948,34.87486,27.93980,18.80947,18.11098,13.52087,8.08259,19.05894,23.99829,21.70324,24.09808,32.08088,30.38453,26.89206,35.82282,33.42798,48.54540,44.80347,48.49551,48.24605,46.49981,43.30669
18-02-2014,42.37536,44.30454,46.30024,43.80562,40.06368,32.92905,22.55141,12.67270,11.27571,17.46238,17.36259,21.80302,22.75098,15.01764,21.20431,12.02409,5.03914,2.09549,25.69464,8.83097,2.84387,9.42968,17.61205,24.49722
19-02-2014,32.19729,32.92905,33.77722,40.06368,36.82067,31.23271,24.09808,5.93721,8.03269,14.81807,5.48818,16.51442,19.65765,15.11743,18.80947,17.66195,9.03054,2.64430,9.08044,16.16517,20.35614,35.27400,39.41508,38.21766
20-02-2014,40.44619,34.05995,39.06583,44.10497,47.99659,42.70798,38.66669,32.92905,31.83142,44.40433,42.70798,46.44992,73.39187,63.46326,52.68648,51.13981,30.78367,43.20691,50.44132,53.78412,30.43443,21.75313,36.77077,34.17636
21-02-2014,20.48919,21.75313,34.17636,37.56905,44.35443,26.49292,20.05679,20.95485,22.45163,30.73378,35.27400,50.19186,49.54325,54.18326,49.14411,44.15486,38.26755,35.52346,35.17421,31.48217,35.52346,39.31529,35.77292,34.27615
22-02-2014,41.71013,42.10927,33.72733,49.84261,43.00734,46.25035,30.98324,31.63185,34.92475,41.80992,42.15916,55.28089,55.77982,50.94024,43.90540,45.25250,48.69508,39.01594,43.65594,45.10282,46.15056,54.28304,57.02713,61.06842
23-02-2014,66.32376,70.18212,71.69552,72.99273,72.29423,70.94714,67.55445,67.95359,66.80606,70.64778,71.39617,71.99488,71.59574,68.65208,65.80821,67.80391,66.70627,68.90154,70.79746,72.54370,74.28993,72.74327,70.09896,66.00778
24-02-2014,63.79588,61.20147,61.96649,61.53408,61.36778,58.37423,55.97939,49.19401,43.75572,38.41723,30.63400,28.08948,43.30669,49.94239,34.42583,37.71873,33.82712,27.34109,27.54066,37.66884,49.69293,49.19401,53.28519,58.22455
25-02-2014,47.69723,52.35386,75.03832,78.28133,74.78886,70.54800,60.02068,45.30239,47.24820,54.93164,54.58240,58.17466,56.67788,53.38498,51.38928,53.48476,58.42412,54.48261,52.03788,53.38498,53.68433,48.74497,43.10712,41.51056
26-02-2014,33.92690,42.10927,42.45852,40.66239,39.46497,31.18281,23.84862,16.31485,18.16087,25.14582,34.57550,40.56260,48.14626,50.09207,49.34368,49.89250,30.68389,24.59700,21.45378,35.12432,39.51486,33.97679,38.31744,47.94669
27-02-2014,54.88175,55.28089,57.72562,57.37638,64.71057,68.15316,65.45896,54.88175,28.38883,32.38023,49.29379,60.12046,50.49121,64.01208,60.36993,48.29594,40.61250,32.38023,26.34324,12.72259,16.56431,23.99829,24.04819,29.98539
28-02-2014,35.78955,20.15657,29.73593,15.36689,2.19527,0.54882,0.09979,0.44903,2.09549,7.53377,27.54066,45.70153,61.31788,62.16606,64.81036,64.51100,59.62154,42.45852,22.15227,9.03054,1.89592,2.09549,2.39484,2.44473
01-03-2014,1.99570,19.42481,24.89636,18.65980,7.28431,1.94581,0.24946,2.69420,18.60990,18.06109,26.69249,34.77507,32.57980,33.02884,38.41723,45.00304,27.64045,10.72689,18.31055,46.44992,55.33078,42.70798,41.11142,42.95744
02-03-2014,38.25092,33.19514,34.27615,37.12002,39.51486,43.80562,45.65164,40.51271,38.61680,36.87056,52.33723,60.96864,63.41337,61.91659,66.35703,68.40262,69.10111,68.55230,63.91229,62.66498,64.16176,65.55875,66.30713,71.74542
03-03-2014,67.18857,57.67573,53.53465,54.83186,38.66669,25.34539,10.27786,3.39269,9.72904,29.13722,41.01164,57.32648,55.33078,60.76907,59.92089,63.56305,46.44992,30.23486,19.05894,2.24516,0.09979,0.59871,1.94581,8.03269
04-03-2014,18.69306,22.41836,10.42753,17.76173,15.86582,5.33850,11.27571,7.58366,12.57291,20.60560,20.75528,16.76388,9.87872,19.30840,20.80517,23.99829,24.69679,15.96560,4.78968,3.44258,4.44043,6.83527,2.99355,7.73334
05-03-2014,17.02997,21.62008,15.26711,11.07614,23.05034,12.22366,1.14753,1.74624,5.03914,9.18022,15.96560,20.50582,22.65120,28.93765,18.51012,14.56861,14.81807,5.48818,10.57721,15.76603,23.05034,16.91356,12.72259,23.79872
06-03-2014,27.93980,32.13077,32.62970,33.22841,37.41938,34.82497,29.73593,23.39958,22.80087,21.40388,23.29980,20.28962,,,,,,,,,,,,
07-03-2014,,35.39041,42.90755,48.64519,50.19186,50.74067,46.84906,31.88131,22.20216,26.59270,25.99399,45.70153,68.60219,64.11186,70.29853,73.89079,73.84090,64.11186,44.40433,36.57120,25.89421,5.38839,1.89592,3.44258
08-03-2014,11.50854,10.84330,24.99614,33.77722,39.61465,54.68218,59.47186,59.02283,52.33723,41.85981,37.71873,41.85981,44.65379,51.83831,59.32218,65.20950,57.67573,57.17681,61.61724,61.06842,57.72562,61.86670,59.17251,64.21165
09-03-2014,60.60276,48.82813,38.81637,38.46712,41.56045,41.76002,44.00519,42.15916,39.81422,42.65809,46.30024,48.39573,58.42412,58.27444,58.62369,72.69337,60.66928,51.08992,36.37163,24.94625,21.50367,20.60560,6.23656,30.43443
10-03-2014,31.66511,27.87328,36.52131,39.96389,45.40218,55.92949,56.82756,56.92734,57.27659,64.96004,69.00133,71.89509,74.09036,77.33338,77.93209,77.78241,70.44821,58.97294,52.13766,51.63874,40.81207,29.78582,33.47787,37.86841
11-03-2014,39.04920,38.98267,37.91830,40.01379,38.76647,39.21551,27.88991,12.72259,28.93765,62.31573,68.10326,70.69767,73.49165,72.59359,72.49380,71.59574,68.45251,62.36563,61.41767,56.67788,51.73852,46.99874,37.51916,34.57550
12-03-2014,39.84748,41.64361,38.36733,37.36948,34.02669,29.33679,11.62495,2.24516,11.07614,21.65335,27.29120,35.17421,32.92905,58.02498,55.03143,51.53895,41.01164,30.33464,31.43228,11.57506,6.28646,1.34710,0.39914,0.34925
13-03-2014,0.53219,1.26394,0.84817,0.14968,0.19957,0.44903,1.34710,1.59656,2.29506,4.19097,6.68560,8.13248,9.28001,15.21721,20.95485,56.52820,52.93594,49.09422,26.59270,10.02839,2.89377,1.14753,1.64645,2.34495
14-03-2014,2.12875,1.26394,1.24731,1.39699,0.29936,0.19957,0.54882,3.39269,8.98065,11.97420,9.67915,12.97205,21.15442,48.34583,29.98539,26.99184,25.79442,29.68604,31.78152,36.52131,56.57810,65.95789,67.90369,77.18370
15-03-2014,78.03187,76.30226,75.38757,73.99058,73.74112,74.04047,72.44391,71.59574,69.20090,62.26584,64.61079,70.59789,68.50240,66.50670,67.30498,64.51100,68.70197,66.10756,64.46111,64.61079,65.55875,65.70842,62.46541,61.81681
16-03-2014,64.92677,68.58556,70.29853,70.49810,74.24004,72.79316,65.65853,73.09251,73.54155,71.94499,70.44821,73.14241,72.09466,71.59574,70.04907,65.65853,59.72132,59.62154,62.21595,62.71487,63.81251,65.55875,67.00563,64.76047
17-03-2014,67.25509,66.92247,66.65638,67.65423,68.10326,64.71057,56.87745,40.26325,37.81852,38.01809,48.74497,51.33938,52.48691,38.91615,35.02454,50.74067,50.24175,41.95959,51.78842,58.47401,43.85551,49.94239,43.15701,25.29550
18-03-2014,35.92260,47.96332,46.35013,48.09637,52.73637,44.00519,30.48432,30.03529,27.19141,37.56905,38.56690,42.85766,42.55830,55.97939,47.44777,48.19616,59.57165,60.61939,63.86240,65.75832,69.40047,71.99488,69.69982,70.04907
19-03-2014,66.98900,66.32376,59.17251,57.27659,55.18111,57.42627,62.56520,49.69293,44.25465,37.61895,37.56905,41.66024,47.29809,44.75357,47.94669,48.04648,45.05293,46.49981,44.10497,43.65594,47.14841,41.01164,41.71013,39.26540
20-03-2014,40.24662,36.58783,44.15486,44.80347,43.25680,42.90755,52.28734,51.33938,54.18326,58.17466,58.12476,52.53680,52.03788,51.73852,52.83616,54.63229,44.35443,54.03358,48.04648,57.02713,65.05982,50.04218,70.34843,68.75187
21-03-2014,65.25939,60.73580,57.07702,56.47831,50.14196,52.88605,42.30884,20.15657,24.14797,48.24605,58.37423,60.71917,64.21165,63.31358,58.27444,62.36563,54.13336,43.40648,45.20261,60.27014,62.96434,65.85810,64.66068,64.96004
22-03-2014,66.58986,60.46971,56.77767,65.05982,66.85595,58.42412,40.91185,41.90970,49.29379,54.88175,64.31143,72.69337,71.64563,62.91444,48.24605,43.55615,46.89895,38.86626,54.83186,48.04648,41.06153,43.50626,45.50196,55.48046
23-03-2014,46.89895,45.63501,52.08777,34.22626,39.41508,40.31314,42.00949,44.05508,57.42627,69.64993,73.74112,77.03402,75.98628,68.30283,65.55875,62.86455,64.71057,57.57595,27.29120,41.95959,50.94024,37.12002,36.82067,45.35228
24-03-2014,47.96332,37.91830,23.89851,17.61205,6.03699,0.04989,0.84817,1.94581,17.46238,24.49722,54.13336,57.27659,63.21380,66.05767,65.75832,65.55875,68.90154,71.59574,68.50240,65.85810,43.85551,47.34798,42.55830,45.45207
25-03-2014,50.09207,52.75300,51.48906,51.04003,46.69938,36.82067,30.43443,17.86152,26.54281,40.21336,53.78412,59.27229,64.76047,73.69122,75.63703,66.90584,62.21595,47.49766,36.77077,35.97249,33.12862,25.24561,25.99399,30.98324
26-03-2014,42.24232,55.34741,53.58455,53.28519,59.32218,52.33723,53.18541,46.49981,53.23530,58.57380,70.79746,71.99488,74.33983,78.97983,70.89724,73.34198,71.19660,61.51745,56.27874,59.97079,61.16821,56.52820,54.08347,54.13336
27-03-2014,53.48476,60.40319,33.92690,49.19401,62.91444,43.55615,13.62065,18.75958,43.05723,57.32648,59.12261,64.31143,71.94499,77.33338,62.11616,55.82971,61.76692,68.45251,75.13811,77.88219,76.43531,76.03617,78.68047,76.03617
28-03-2014,74.97180,76.83445,75.08821,69.05122,74.33983,61.21810,56.62799,45.25250,36.12217,37.76862,38.31744,41.76002,47.94669,43.85551,48.19616,46.79917,52.93594,54.73207,49.84261,47.99659,53.18541,54.78197,49.34368,50.19186
29-03-2014,43.90540,36.05565,35.62325,31.58195,23.79872,20.90496,15.46668,22.05249,22.60130,29.53636,30.18496,29.73593,36.22196,38.01809,38.01809,41.51056,37.12002,31.23271,21.50367,14.46883,9.28001,10.52732,6.48603,8.18237
30-03-2014,13.03857,11.24244,11.77463,10.67700,17.16302,22.15227,16.11528,18.85937,23.05034,34.77507,39.06583,47.79702,49.79272,46.79917,43.05723,40.76217,39.21551,37.46927,34.67529,33.42798,26.29335,25.04604,26.24346,23.20001
