Date,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
25-01-2014,43.65328,21.43315,19.71951,27.32812,32.63319,31.45423,33.70488,35.36580,34.07957,30.75773,28.02412,29.47100,32.47253,29.09631,21.80901,15.37886,32.25800,71.26745,71.91056,67.14134,64.51549,63.97965,62.21146,60.49765
26-01-2014,57.51408,50.51250,53.47728,52.62012,49.51182,48.65467,44.31452,42.49244,45.01152,42.59971,44.20775,54.54897,63.81899,72.55367,72.82160,67.19472,59.21042,54.49558,54.65674,58.30038,59.64000,61.72950,62.69442,63.22976
27-01-2014,60.08587,63.37212,63.81949,64.08692,63.60446,57.33546,51.49455,50.69128,48.17271,46.99325,47.58298,45.22556,43.61802,48.22609,45.17167,42.70698,39.17010,44.26064,42.97491,45.33233,36.86657,32.52592,27.54266,29.31035
28-01-2014,34.65134,45.93968,52.94193,57.71016,60.76557,64.30145,62.90846,61.56834,59.26431,54.87077,58.03196,59.85404,60.12146,60.81846,64.03353,64.40872,61.30042,58.56781,56.37104,58.13923,60.60392,45.49348,37.50868,46.83359
29-01-2014,47.29676,46.58296,47.58348,50.53063,50.79805,46.08271,40.18791,36.49088,23.04185,19.39771,23.73835,25.77397,25.13135,26.25643,25.02358,25.66670,25.07747,26.20254,31.40034,31.29357,28.72112,22.50601,21.43382,19.12978
30-01-2014,20.64751,21.79105,23.95239,26.90004,25.50654,22.61278,17.89694,12.21768,7.93041,5.30507,5.25119,6.00157,11.68133,14.19990,16.77186,23.20251,6.96599,4.92988,7.82364,14.14652,11.62745,16.93252,15.75356,8.19884
31-01-2014,6.28712,19.64767,12.86029,11.25275,9.75249,10.55626,5.73315,6.37626,16.82575,28.23916,32.73996,42.49294,47.10102,47.74363,48.17221,46.24336,50.95920,53.69181,56.90689,55.19158,55.24547,56.31716,55.72793,55.72843
01-02-2014,56.42310,55.56561,54.60036,56.15551,59.80315,74.65914,71.65561,68.16912,67.31047,65.75632,65.32675,63.77110,66.77512,71.01200,72.08419,70.58242,68.81323,66.39943,64.25406,61.30391,62.43049,64.03952,64.68263,64.57586
02-02-2014,64.86158,63.71738,62.69841,61.08938,58.19361,55.45851,56.69185,51.70360,48.59280,52.29333,54.27805,57.49612,60.23122,64.62975,67.52501,64.57536,56.42393,50.41587,42.53286,40.60152,41.99651,37.91930,38.34887,43.87297
03-02-2014,47.12713,48.98645,52.88306,51.75698,44.19428,40.01179,35.82780,21.29312,18.55752,37.00726,51.32791,56.63847,57.54950,58.56881,53.04471,41.03010,28.37237,25.52949,20.91693,24.93976,29.55233,26.17361,38.02657,46.98377
04-02-2014,46.26831,37.97285,31.91274,31.64382,34.59396,32.12678,33.46789,37.54411,39.04587,47.73465,54.92166,62.26933,61.03649,65.86259,65.97036,66.18490,64.46859,61.67910,64.78990,62.21595,57.60339,53.58105,57.12043,62.48437
05-02-2014,65.14830,63.28830,59.80265,58.51492,58.51542,61.78737,62.21645,63.77110,76.69725,69.72477,71.76338,66.93511,,,,78.30578,75.78521,71.92353,66.93578,66.93578,72.99722,76.58948,79.53962,79.05716
