Date,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
26-01-2014,59.13924,55.08132,56.07917,58.47401,60.17036,61.81681,60.71917,64.21165,66.45681,67.05552,68.80176,66.65638,69.25079,68.50240,73.44176,69.15101,63.96219,62.36563,67.40477,66.85595,67.35488,67.30498,69.55015,66.80606
27-01-2014,64.86025,67.12204,67.90369,66.35703,63.36348,58.97294,52.83616,49.94239,41.90970,45.45207,53.13551,56.57810,56.82756,52.73637,54.58240,55.08132,49.49336,49.39358,46.44992,44.30454,48.19616,51.68863,49.94239,51.04003
28-01-2014,56.94397,57.21007,58.47401,60.51960,61.16821,62.71487,61.61724,53.23530,43.80562,43.95529,46.94884,51.83831,53.13551,55.72992,57.07702,43.90540,36.47142,39.76432,40.66239,41.26110,44.85336,37.41938,43.45637,42.80777
29-01-2014,43.97192,49.42684,50.24175,50.94024,52.43702,57.77552,57.72562,42.75787,33.62755,32.82927,37.41938,37.76862,35.32389,38.11787,34.47572,33.77722,30.58410,32.28045,22.10238,34.92475,41.95959,36.97034,47.39788,46.94884
30-01-2014,41.37751,45.50196,49.94239,50.59100,50.54110,49.09422,47.79702,45.55185,40.86196,43.90540,42.60820,37.46927,30.46769,24.64690,25.34539,17.71184,12.67270,7.88302,3.04344,2.09549,1.74624,1.39699,1.39699,1.49678
31-01-2014,1.53004,1.53004,1.54667,1.89592,3.49248,11.02624,15.41678,21.65335,17.36259,15.06754,13.72044,10.47743,11.97420,18.51012,35.27400,52.98584,59.02283,53.38498,49.94239,44.40433,42.80777,44.20476,54.78197,60.71917
01-02-2014,66.45681,71.71215,68.35273,63.16391,67.30498,68.75187,62.96434,64.51100,63.26369,64.46111,68.80176,63.56305,60.76907,57.42627,62.76477,62.81466,58.32433,61.56735,62.01638,62.31573,60.61939,60.56950,63.36348,63.76262
02-02-2014,62.86455,58.54053,59.67143,60.27014,59.12261,57.72562,57.22670,55.48046,56.47831,61.01853,61.36778,62.46541,64.76047,63.46326,64.01208,62.16606,56.47831,53.58455,44.65379,45.15271,48.94454,47.84691,41.51056,46.15056
03-02-2014,53.41824,56.27874,57.57595,59.17251,61.46756,60.17036,57.47616,53.93379,51.18971,56.17896,57.82541,57.82541,57.37638,57.32648,56.97724,53.88390,47.24820,46.59960,49.64304,47.54755,37.71873,31.28260,33.32819,34.67529
04-02-2014,33.32819,34.19299,35.37378,45.30239,48.84476,50.74067,50.24175,45.95099,39.61465,45.45207,50.44132,56.12906,61.41767,61.11831,58.22455,61.76692,55.72992,61.11831,61.26799,60.96864,62.96434,59.87100,61.76692,65.50885
05-02-2014,65.92462,63.39674,62.31573,59.47186,60.27014,60.86885,60.71917,62.51530,61.16821,63.21380,61.26799,60.27014,60.81896,63.21380,61.41767,56.92734,50.44132,46.35013,48.49551,51.18971,53.63444,57.57595,58.92304,59.32218
06-02-2014,59.73795,61.73365,62.41552,63.91229,65.05982,65.80821,63.26369,54.53250,29.48647,35.47357,41.85981,55.77982,52.53680,53.83401,54.23315,43.80562,51.48906,41.36088,43.90540,32.97894,38.01809,34.37593,23.54926,34.07658
07-02-2014,27.87328,44.23802,42.50841,48.19616,57.77552,61.21810,49.19401,41.90970,41.80992,56.22885,48.49551,54.43272,58.72347,60.86885,58.62369,55.97939,53.78412,48.39573,50.79057,52.03788,63.16391,63.36348,68.95144,70.69767
08-02-2014,71.11344,70.98040,69.69982,67.60434,69.15101,70.34843,78.23144,70.69767,69.89939,68.35273,68.90154,67.20520,67.65423,67.30498,66.65638,66.75617,65.40907,61.26799,65.65853,66.75617,67.30498,67.15531,65.95789,65.30928
09-02-2014,67.72075,70.91387,70.39832,67.15531,66.50670,66.35703,66.90584,68.25294,69.45036,69.84950,68.50240,67.55445,65.85810,66.20735,64.31143,62.16606,55.68003,52.08777,54.33293,55.18111,53.23530,51.93809,56.62799,65.65853
10-02-2014,61.40104,60.40319,54.43272,54.08347,50.34153,50.54110,34.82497,14.91786,13.07184,16.26496,20.30625,26.59270,37.91830,36.92045,33.62755,33.37808,25.44518,15.86582,26.69249,24.34754,39.41508,39.96389,46.99874,50.79057
11-02-2014,45.03630,55.01480,56.22885,59.92089,69.45036,66.65638,65.65853,54.58240,54.73207,49.79272,58.57380,65.10971,64.76047,65.10971,63.56305,58.82326,54.68218,45.10282,48.74497,52.18756,47.29809,55.23100,60.22025,63.71272
12-02-2014,65.65853,67.72075,68.40262,65.05982,60.17036,56.82756,57.52605,50.84046,48.54540,50.14196,50.04218,57.67573,70.74757,71.79531,69.69982,69.64993,73.59144,72.24434,73.09251,74.28993,73.34198,71.94499,71.44606,70.14886
13-02-2014,71.04692,69.58341,69.25079,66.45681,66.20735,64.66068,61.41767,59.52175,53.63444,60.22025,61.31788,62.56520,64.61079,65.05982,63.31358,64.66068,62.96434,60.76907,60.22025,59.82111,58.72347,61.36778,62.86455,65.10971
14-02-2014,63.86240,62.46541,64.46111,60.61939,55.33078,54.83186,54.88175,52.03788,38.91615,42.60820,54.48261,65.65853,60.71917,58.12476,54.78197,48.69508,39.16561,42.85766,61.36778,61.11831,66.20735,70.14886,69.45036,70.89724
15-02-2014,69.45036,73.17567,66.50670,59.42197,52.73637,49.09422,47.74712,51.28949,56.92734,58.77337,58.77337,59.92089,64.21165,66.65638,65.40907,59.62154,58.82326,58.52390,56.57810,55.48046,54.78197,56.77767,56.87745,55.08132
16-02-2014,58.00835,56.14569,56.52820,56.32863,56.07917,54.53250,53.33508,50.34153,51.88820,51.48906,57.07702,62.36563,64.61079,64.36133,60.71917,55.97939,50.19186,40.36303,36.32174,26.64260,43.80562,44.65379,37.02024,34.72518
17-02-2014,36.18869,37.38611,45.60175,46.54970,47.69723,40.86196,40.16346,33.17851,36.52131,37.36948,37.66884,46.54970,49.79272,56.77767,57.87530,58.82326,57.97509,54.13336,50.64089,48.59530,50.09207,47.89680,46.10067,46.89895
18-02-2014,51.15644,53.35171,48.29594,43.45637,44.15486,38.81637,31.38238,9.77893,10.17807,29.08733,40.41293,47.39788,51.93809,46.74927,43.50626,39.61465,23.84862,25.49507,28.83787,16.81377,20.45593,33.92690,39.91400,38.06798
19-02-2014,37.31959,35.58998,36.32174,34.17636,37.41938,46.74927,35.67314,11.17592,5.33850,12.32345,30.78367,50.34153,42.10927,35.32389,34.27615,43.90540,42.65809,45.15271,46.59960,55.13121,53.33508,48.09637,44.80347,47.94669
20-02-2014,48.16289,50.09207,50.09207,46.79917,49.09422,51.83831,56.12906,55.82971,69.40047,71.04692,71.89509,72.54370,67.30498,73.59144,71.74542,65.15961,62.16606,52.13766,42.00949,49.14411,27.79012,42.70798,47.54755,35.67314
21-02-2014,38.51701,52.35386,65.65853,68.45251,66.10756,61.71702,51.08992,45.55185,52.93594,60.61939,64.81036,66.25724,66.85595,67.75402,65.85810,65.20950,62.26584,61.46756,54.83186,57.77552,62.36563,64.01208,63.36348,59.42197
22-02-2014,62.26584,60.13709,60.17036,60.36993,57.77552,56.97724,50.79057,50.44132,43.85551,52.38713,59.37208,63.76262,67.00563,69.64993,68.15316,68.25294,65.85810,64.06197,58.77337,63.06412,67.70412,68.65208,68.25294,67.10541
